match_id,round,slot_home,slot_away,home_team_kaggle,home_team_dc,home_team,away_team_kaggle,away_team_dc,away_team,home_goals_kaggle,home_goals_dc,home_goals,away_goals_kaggle,away_goals_dc,away_goals,corners_kaggle,corners_dc,corners,yellow_cards_kaggle,yellow_cards_dc,yellow_cards,red_cards_kaggle,red_cards_dc,red_cards,match_winner_kaggle,match_winner_dc,match_winner,penalties_kaggle,penalties_dc,penalties
73,Round of 32,Runner-up Group A,Runner-up Group B,South Korea,South Korea,South Africa,Switzerland,Switzerland,Canada,0,0,,1,1,,7,10,,5,3,,0,1,,away,away,,FALSE,FALSE,
74,Round of 32,Winner Group C,Runner-up Group F,Brazil,Brazil,Brazil,Japan,Japan,Japan,2,1,,1,2,,9,10,,5,4,,0,0,,home,away,,FALSE,FALSE,
75,Round of 32,Winner Group E,Best 3rd (Groups A/B/C/D/F),Germany,Germany,Germany,UEFA Playoff D,UEFA Playoff D,,2,3,,1,0,,13,9,,4,3,,0,1,,home,home,,FALSE,FALSE,
76,Round of 32,Winner Group F,Runner-up Group C,Netherlands,Netherlands,Netherlands,Morocco,Morocco,Morocco,1,1,,0,0,,11,11,,5,5,,0,0,,home,home,,FALSE,FALSE,
77,Round of 32,Runner-up Group E,Runner-up Group I,Ecuador,Ecuador,Côte d'Ivoire,Norway,Norway,,0,0,,1,1,,7,6,,3,3,,0,0,,away,away,,FALSE,FALSE,
78,Round of 32,Winner Group I,Best 3rd (Groups C/D/F/G/H),France,France,,New Zealand,Scotland,,2,2,,1,0,,8,15,,7,7,,0,1,,home,home,,FALSE,FALSE,
79,Round of 32,Winner Group A,Best 3rd (Groups C/E/F/H/I),Mexico,Mexico,Mexico,Scotland,Côte d'Ivoire,,1,1,,0,0,,11,7,,6,5,,1,1,,home,home,,FALSE,FALSE,
80,Round of 32,Winner Group L,Best 3rd (Groups E/H/I/J/K),England,England,,Uzbekistan,Algeria,,1,2,,0,1,,10,11,,5,4,,0,0,,home,home,,FALSE,FALSE,
81,Round of 32,Winner Group G,Best 3rd (Groups A/E/H/I/J),Belgium,Belgium,,Senegal,Senegal,,1,1,,2,2,,12,10,,6,4,,1,0,,away,away,,FALSE,FALSE,
82,Round of 32,Winner Group D,Best 3rd (Groups B/E/F/I/J),USA,Australia,USA,UEFA Playoff B,UEFA Playoff B,UEFA Playoff A,2,2,,1,1,,5,9,,3,5,,1,0,,home,home,,FALSE,FALSE,
83,Round of 32,Runner-up Group K,Runner-up Group L,Colombia,Colombia,,Croatia,Croatia,,1,1,,2,0,,12,12,,5,0,,0,0,,away,home,,FALSE,FALSE,
84,Round of 32,Winner Group H,Runner-up Group J,Spain,Spain,,Austria,Austria,,2,2,,1,1,,14,10,,5,3,,0,0,,home,home,,FALSE,FALSE,
85,Round of 32,Winner Group B,Best 3rd (Groups E/F/G/I/J),Canada,Canada,Switzerland,Algeria,New Zealand,,1,1,,0,0,,13,11,,9,4,,1,1,,home,home,,FALSE,FALSE,
86,Round of 32,Runner-up Group D,Runner-up Group G,Paraguay,USA,,Iran,Iran,,1,1,,0,0,,8,4,,7,0,,0,0,,home,home,,FALSE,FALSE,
87,Round of 32,Winner Group J,Runner-up Group H,Argentina,Argentina,Argentina,Uruguay,Uruguay,,1,1,,0,0,,9,10,,7,4,,0,1,,home,home,,FALSE,FALSE,
88,Round of 32,Winner Group K,Best 3rd (Groups D/E/I/J/L),Portugal,Portugal,,UEFA Playoff C,UEFA Playoff C,,2,2,,1,1,,12,7,,7,8,,0,0,,home,home,,FALSE,FALSE,
89,Round of 16,Winner Match 73,Winner Match 75,Switzerland,Switzerland,,Germany,Germany,,0,0,,1,1,,7,14,,5,5,,0,0,,away,away,,FALSE,FALSE,
90,Round of 16,Winner Match 74,Winner Match 77,Brazil,Japan,,Norway,Norway,,1,1,,2,0,,9,4,,0,3,,0,1,,away,home,,FALSE,FALSE,
91,Round of 16,Winner Match 76,Winner Match 78,Netherlands,Netherlands,,France,France,,2,2,,1,1,,16,9,,7,2,,1,0,,home,home,,FALSE,FALSE,
92,Round of 16,Winner Match 79,Winner Match 80,Mexico,Mexico,,England,England,,1,0,,0,1,,10,10,,5,1,,0,0,,home,away,,FALSE,FALSE,
93,Round of 16,Winner Match 83,Winner Match 84,Croatia,Colombia,,Spain,Spain,,1,1,,2,2,,12,2,,2,4,,0,0,,away,away,,FALSE,FALSE,
94,Round of 16,Winner Match 81,Winner Match 82,Senegal,Senegal,,USA,Australia,,1,1,,0,1,,19,15,,1,8,,0,0,,home,home,,FALSE,TRUE,
95,Round of 16,Winner Match 86,Winner Match 88,Paraguay,USA,,Portugal,Portugal,,0,0,,1,1,,17,15,,6,4,,0,1,,away,away,,FALSE,FALSE,
96,Round of 16,Winner Match 85,Winner Match 87,Canada,Canada,,Argentina,Argentina,,0,1,,1,0,,14,9,,2,10,,1,0,,away,home,,FALSE,FALSE,
97,Quarter-final,Winner Match 89,Winner Match 90,Germany,Germany,,Norway,Japan,,1,1,,2,2,,13,5,,5,5,,0,0,,away,away,,FALSE,FALSE,
98,Quarter-final,Winner Match 93,Winner Match 94,Spain,Spain,,Senegal,Senegal,,2,2,,1,0,,5,13,,8,1,,0,0,,home,home,,FALSE,FALSE,
99,Quarter-final,Winner Match 91,Winner Match 92,Netherlands,Netherlands,,Mexico,England,,2,1,,1,0,,12,8,,2,4,,0,1,,home,home,,FALSE,FALSE,
100,Quarter-final,Winner Match 95,Winner Match 96,Portugal,Portugal,,Argentina,Canada,,2,2,,1,1,,7,8,,5,5,,0,0,,home,home,,FALSE,FALSE,
101,Semi-final,Winner Match 97,Winner Match 98,Norway,Japan,,Spain,Spain,,0,1,,1,2,,5,10,,4,4,,0,0,,away,away,,FALSE,FALSE,
102,Semi-final,Winner Match 99,Winner Match 100,Netherlands,Netherlands,,Portugal,Portugal,,2,2,,1,1,,12,8,,6,8,,0,0,,home,home,,FALSE,FALSE,
103,Third-place playoff,Loser Match 101,Loser Match 102,Norway,Japan,,Portugal,Portugal,,1,1,,2,0,,11,10,,3,6,,0,0,,away,home,,FALSE,FALSE,
104,Final,Winner Match 101,Winner Match 102,Spain,Spain,,Netherlands,Netherlands,,2,1,,1,2,,8,14,,5,6,,0,0,,home,away,,FALSE,FALSE,
