Team,Rating,Champion,Runner-Up,3rd Place,Podium,Win %,Pod %
Spain,2165,3,0,0,3,30.0,30.0
England,2020,2,0,0,2,20.0,20.0
Brazil,1984,1,1,0,2,10.0,20.0
Colombia,1975,1,1,0,2,10.0,20.0
Croatia,1930,1,0,1,2,10.0,20.0
Germany,1923,1,0,0,1,10.0,10.0
Panama,1737,1,0,0,1,10.0,10.0
Mexico,1858,0,3,0,3,0.0,30.0
France,2081,0,1,1,2,0.0,20.0
Paraguay,1833,0,1,0,1,0.0,10.0
Canada,1784,0,1,0,1,0.0,10.0
Uzbekistan,1727,0,1,0,1,0.0,10.0
Egypt,1689,0,1,0,1,0.0,10.0
Argentina,2113,0,0,1,1,0.0,10.0
Japan,1904,0,0,1,1,0.0,10.0
Uruguay,1892,0,0,1,1,0.0,10.0
Belgium,1867,0,0,1,1,0.0,10.0
Morocco,1821,0,0,1,1,0.0,10.0
Australia,1783,0,0,1,1,0.0,10.0
Scotland,1767,0,0,1,1,0.0,10.0
South Korea,1752,0,0,1,1,0.0,10.0
Portugal,1984,0,0,0,0,0.0,0.0
Netherlands,1961,0,0,0,0,0.0,0.0
Ecuador,1933,0,0,0,0,0.0,0.0
Norway,1912,0,0,0,0,0.0,0.0
Turkey,1902,0,0,0,0,0.0,0.0
Switzerland,1889,0,0,0,0,0.0,0.0
Senegal,1878,0,0,0,0,0.0,0.0
Denmark,1869,0,0,0,0,0.0,0.0
Italy,1856,0,0,0,0,0.0,0.0
Austria,1827,0,0,0,0,0.0,0.0
Russia,1776,0,0,0,0,0.0,0.0
Serbia,1769,0,0,0,0,0.0,0.0
Ukraine,1767,0,0,0,0,0.0,0.0
Iran,1760,0,0,0,0,0.0,0.0
Nigeria,1752,0,0,0,0,0.0,0.0
Greece,1752,0,0,0,0,0.0,0.0
Algeria,1743,0,0,0,0,0.0,0.0
Poland,1729,0,0,0,0,0.0,0.0
Venezuela,1727,0,0,0,0,0.0,0.0
Czechia,1726,0,0,0,0,0.0,0.0
USA,1721,0,0,0,0,0.0,0.0
Kosovo,1721,0,0,0,0,0.0,0.0
Sweden,1719,0,0,0,0,0.0,0.0
Chile,1710,0,0,0,0,0.0,0.0
Hungary,1703,0,0,0,0,0.0,0.0
Wales,1698,0,0,0,0,0.0,0.0
Peru,1695,0,0,0,0,0.0,0.0
Slovenia,1694,0,0,0,0,0.0,0.0
Ireland,1692,0,0,0,0,0.0,0.0
Jordan,1690,0,0,0,0,0.0,0.0
Côte d'Ivoire,1676,0,0,0,0,0.0,0.0
Slovakia,1673,0,0,0,0,0.0,0.0
DR Congo,1655,0,0,0,0,0.0,0.0
Georgia,1653,0,0,0,0,0.0,0.0
Albania,1646,0,0,0,0,0.0,0.0
Bolivia,1645,0,0,0,0,0.0,0.0
Tunisia,1636,0,0,0,0,0.0,0.0
Israel,1634,0,0,0,0,0.0,0.0
Romania,1627,0,0,0,0,0.0,0.0
Costa Rica,1614,0,0,0,0,0.0,0.0
Cameroon,1614,0,0,0,0,0.0,0.0
Iraq,1607,0,0,0,0,0.0,0.0
Northern Ireland,1601,0,0,0,0,0.0,0.0
Mali,1596,0,0,0,0,0.0,0.0
Bosnia and Herzegovina,1594,0,0,0,0,0.0,0.0
North Macedonia,1589,0,0,0,0,0.0,0.0
New Zealand,1585,0,0,0,0,0.0,0.0
Honduras,1571,0,0,0,0,0.0,0.0
Iceland,1571,0,0,0,0,0.0,0.0
Saudi Arabia,1568,0,0,0,0,0.0,0.0
Cabo Verde,1549,0,0,0,0,0.0,0.0
Angola,1543,0,0,0,0,0.0,0.0
Finland,1542,0,0,0,0,0.0,0.0
United Arab Emirates,1540,0,0,0,0,0.0,0.0
Jamaica,1535,0,0,0,0,0.0,0.0
Haiti,1532,0,0,0,0,0.0,0.0
Burkina Faso,1530,0,0,0,0,0.0,0.0
South Africa,1524,0,0,0,0,0.0,0.0
Guatemala,1515,0,0,0,0,0.0,0.0
Belarus,1513,0,0,0,0,0.0,0.0
Ghana,1505,0,0,0,0,0.0,0.0
Syria,1491,0,0,0,0,0.0,0.0
